Date, Open, High, Low, Close, Volume
01/14/2022,951,958,940.5,947,181510
01/13/2022,941,963.5,941,950,276460
01/12/2022,952,952,934,950,254360
01/11/2022,940,948,926,930,388200
01/10/2022,932,960,931.5,940,247910
01/07/2022,944,944,932,937,173030
01/06/2022,929,947,920,947,373440
01/05/2022,948,957,923,929.5,215800
01/03/2022,950,950.5,932,932,255750
